time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-04T17:41:01.620Z,22.8126,121.5589,13.72,3.9,mb,,107,0.442,1.06,us,us10003nju,2016-01-04T22:29:07.040Z,"42km E of Taitung City, Taiwan",earthquake,3.7,6.6,0.21,6,reviewed,us,us
2015-10-04T08:59:09.530Z,24.5582,122.2902,76.89,4.6,mb,,126,0.663,0.36,us,us10003raq,2016-01-04T22:29:03.040Z,"44km E of Su'ao, Taiwan",earthquake,5.5,9.3,0.193,8,reviewed,us,us
2015-09-29T19:37:44.990Z,24.0041,121.5644,18.11,4.2,mwr,,84,0.171,0.73,us,us10003iy1,2015-12-28T23:08:50.040Z,"5km NW of Hualian, Taiwan",earthquake,3,4.2,0.061,26,reviewed,us,us
2015-09-24T05:57:58.900Z,22.4152,120.6148,10,4.2,mb,,102,0.587,0.79,us,us10003len,2015-12-28T23:08:36.040Z,"31km SSE of Pingtung, Taiwan",earthquake,3.9,1.8,0.152,12,reviewed,us,us
2015-09-23T11:32:56.270Z,24.2155,121.8966,10,4,ml,,133,0.278,0.54,us,us10003pc0,2015-12-21T23:16:34.040Z,"39km NE of Hualian, Taiwan",earthquake,2.1,2,,,reviewed,us,tap
2015-09-22T03:16:55.270Z,24.0966,122.074,39.02,4.6,mb,,87,0.444,0.51,us,us10003lc0,2015-12-21T23:16:31.040Z,"49km ENE of Hualian, Taiwan",earthquake,2.7,7.8,0.206,7,reviewed,us,us
2015-09-16T17:16:47.170Z,22.9867,120.0627,25.4,4.2,mb,,147,0.608,1.09,us,us10003qhl,2015-12-12T00:42:56.040Z,"15km W of Tainan, Taiwan",earthquake,7.1,7,0.187,8,reviewed,us,us
2015-09-16T14:29:58.320Z,24.2329,121.7909,20.27,4.6,mb,,72,0.188,0.64,us,us10003ist,2015-12-12T00:42:56.040Z,"34km NNE of Hualian, Taiwan",earthquake,4.4,2,0.076,52,reviewed,us,us
2015-09-16T13:30:26.340Z,24.2568,121.8275,22.03,4.5,mb,,84,0.228,0.7,us,us10003is1,2015-12-12T00:42:56.040Z,"38km NE of Hualian, Taiwan",earthquake,4,3.9,0.108,25,reviewed,us,us
2015-09-16T13:08:59.120Z,24.2526,121.8286,16.74,5.2,mww,,29,0.227,0.8,us,us20003jy9,2016-11-10T21:52:12.625Z,"38km NE of Hualian, Taiwan",earthquake,5.4,3.2,,,reviewed,us,us
2015-09-16T09:39:05.850Z,24.258,121.8152,24.05,4,ml,,126,0.218,0.57,us,us10003pc7,2015-12-12T00:42:55.040Z,"37km NE of Hualian, Taiwan",earthquake,3.8,9.9,,,reviewed,us,tap
2015-09-16T02:07:18.080Z,24.2402,121.8067,23.2,4.1,mb,,85,0.204,0.49,us,us20003nj1,2015-12-12T00:42:55.040Z,"35km NE of Hualian, Taiwan",earthquake,2.5,7.3,0.369,2,reviewed,us,us
2015-09-15T20:43:58.740Z,24.2312,121.8209,21.24,4,mwr,,88,0.214,0.98,us,us20003p3d,2015-12-12T00:42:54.040Z,"35km NE of Hualian, Taiwan",earthquake,2.1,5.3,0.068,21,reviewed,us,us
2015-09-15T19:37:34.830Z,24.2353,121.8676,15.59,5.3,mww,,27,0.256,1.09,us,us20003jrf,2016-11-10T21:52:05.850Z,"39km NE of Hualian, Taiwan",earthquake,5.9,3,,,reviewed,us,us
2015-09-15T17:56:23.250Z,24.2234,121.8003,24.6,4.3,mwr,,71,0.194,0.81,us,us20003jqk,2015-12-12T00:42:54.040Z,"33km NE of Hualian, Taiwan",earthquake,4.3,4.8,0.066,22,reviewed,us,us
2015-09-10T15:23:27.880Z,24.2374,121.813,18.6,4.6,mwr,,48,0.209,1.05,us,us20003hsn,2015-12-12T00:42:45.040Z,"35km NE of Hualian, Taiwan",earthquake,2.6,2.8,0.063,24,reviewed,us,us
2015-09-10T06:46:41.980Z,24.8732,122.0288,10,4,ml,,148,0.493,0.53,us,us10003pc3,2015-12-12T00:42:44.040Z,"30km ENE of Yilan, Taiwan",earthquake,2.1,2,,,reviewed,us,tap
2015-09-08T15:15:56.100Z,22.4,121.38,15.2,4.3,mb,,,,1.19,us,us10003nwt,2015-12-05T01:40:36.040Z,"46km SSE of Taitung City, Taiwan",earthquake,5.2,4.4,0.161,11,reviewed,tap,us
2015-09-07T09:50:52.270Z,21.5936,121.0299,27.3,4.4,mb,,143,1.219,0.76,us,us20003l9n,2015-12-05T01:40:33.040Z,"54km SSE of Hengchun, Taiwan",earthquake,8.5,6.8,0.162,11,reviewed,us,us
2015-09-02T03:03:36.400Z,24.85,122,6.1,4.5,mb,,,,0.64,us,us20003fla,2015-12-01T00:36:10.040Z,"27km ENE of Yilan, Taiwan",earthquake,2.4,4,0.136,16,reviewed,tap,us
2015-09-02T02:18:13.510Z,24.8745,122.0266,4.61,4.4,mwr,,37,0.49,0.96,us,us20003fl5,2015-12-01T00:36:10.040Z,"30km ENE of Yilan, Taiwan",earthquake,2.7,4.8,0.065,23,reviewed,us,us
2015-09-01T23:28:03.640Z,22.6361,121.5415,10.4,4,mb,,239,0.462,0.91,us,us20003jun,2015-12-01T00:36:09.040Z,"42km ESE of Taitung City, Taiwan",earthquake,3.6,7.4,0.365,2,reviewed,us,us
2015-09-01T17:34:06.940Z,23.9558,122.421,26.08,4.7,mwr,,38,0.741,0.87,us,us20003ffc,2015-12-01T00:36:08.040Z,"81km SW of Yonakuni, Japan",earthquake,2.8,4.8,0.06,27,reviewed,us,us
2015-09-01T17:19:13.230Z,23.9654,122.4073,27.52,4.2,mb,,103,0.744,1.19,us,us20003jct,2015-12-01T00:36:08.040Z,"81km E of Hualian, Taiwan",earthquake,3.4,6.9,0.175,9,reviewed,us,us
