time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-20T16:23:20.030Z,38.1965,-117.7357,4.9,2.7,ml,27,48.83,0.119,0.14,nn,nn00729514,2020-05-20T16:27:37.073Z,"46km WNW of Tonopah, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-05-20T16:19:37.333Z,38.1873,-117.7349,7.7,3.4,ml,24,48.46,0.113,0.1256,nn,nn00729511,2020-05-21T02:25:17.847Z,"44km WNW of Tonopah, Nevada",earthquake,,1.2,0.17,7,reviewed,nn,nn
2020-05-20T16:09:09.370Z,17.959,-66.8333,15,2.72,md,12,206,0.0486,0.28,pr,pr2020141008,2020-05-20T17:13:54.117Z,"4km SSW of Indios, Puerto Rico",earthquake,1.24,0.75,0.18,7,reviewed,pr,pr
2020-05-20T15:49:49.279Z,38.1599,-117.9569,6.2,3.6,ml,22,44.45,0.021,0.1269,nn,nn00729488,2020-05-21T02:24:26.227Z,"64km W of Tonopah, Nevada",earthquake,,1.5,0.36,7,reviewed,nn,nn
2020-05-20T15:39:36.261Z,38.1588,-117.9558,5.7,3.4,ml,25,56.38,0.02,0.1932,nn,nn00729475,2020-05-21T02:23:35.074Z,"63km W of Tonopah, Nevada",earthquake,,1.7,0.4,8,reviewed,nn,nn
2020-05-20T15:29:12.687Z,-21.0904,-68.6571,98.85,4.7,mb,,54,0.889,0.67,us,us70009ls5,2020-05-20T15:48:43.040Z,"155km N of Calama, Chile",earthquake,5.4,8.4,0.246,5,reviewed,us,us
2020-05-20T15:19:16.755Z,38.1729,-117.7936,12.1,3.3,ml,21,48.22,0.117,0.1664,nn,nn00729463,2020-05-21T02:22:48.706Z,"49km WNW of Tonopah, Nevada",earthquake,,0.9,0.41,5,reviewed,nn,nn
2020-05-20T14:44:29.420Z,38.1992,-117.7515,11,3.4,ml,23,59.69,0.127,0.145,nn,nn00729441,2020-05-21T02:21:53.648Z,"48km WNW of Tonopah, Nevada",earthquake,,1.1,0.18,7,reviewed,nn,nn
2020-05-20T13:57:21.863Z,38.1958,-117.7536,11,3.3,ml,10,71.11,0.124,0.1697,nn,nn00729412,2020-05-21T02:21:01.929Z,"48km WNW of Tonopah, Nevada",earthquake,,1.7,0.34,4,reviewed,nn,nn
2020-05-20T13:56:45.939Z,6.5128,125.5939,182.61,4.9,mb,,107,0.553,0.89,us,us70009lpq,2020-05-20T14:15:14.040Z,"3km ENE of Tubalan, Philippines",earthquake,7.8,6.4,0.076,54,reviewed,us,us
